отчет;;;надо исправить;;было, надо;повтор;
15;Поголовье коров;c67;стр72211_Гр3;c30;Стр102_Гр3;;
15;Произведено молока;d67;стр72211_Гр4;d30;Стр102_Гр4;;
15;Себестоимость производства, тыс.руб.;f67;стр72211_Гр6;f30;Стр102_Гр6;;
15;Реализовано молока;c117;стр73210_Гр3;c70;Стр310_Гр3;;
15;Полная себестоимость, тыс. руб.;d117;стр73210_Гр4;d70;Стр310_Гр4;;
15;Выручка от реализации, тыс. руб.;f117;стр73210_Гр6;f70;Стр310_Гр6;;
15;Реализовано молока в переработанном виде;c264;стр76210_Гр3;c77;Стр352_Гр3;;
15;Полная себестоимость, тыс. руб.;d264;стр76210_Гр4;d77;Стр352_Гр4;;
15;Выручка от реализации, тыс. руб.;f246;стр76210_Гр6;f77;Стр352_Гр6;;
;;;;;;;
16;Площадь посева овощей открытого грунта;c56;стр72141_Гр3;c24;Стр070_Гр3;;
16;Произведено овощей, цн;d56;стр72141_Гр4;d24;Стр070_Гр4;;
16;Себестоимость производства, тыс. руб.;f56;стр72141_Гр6;f24;Стр070_Гр6;;
16;Реализовано овощей;c107;стр73141_Гр3;c58;Стр260_Гр3;;
16;Полная себестоимость, тыс. руб.;d107;стр73141_Гр4;d58;Стр260_Гр4;;
16;Выручка от реализации;f107;стр73141_Гр6;f58;Стр260_Гр6;;
;;;;;;;
17;Площадь посева картофеля;c57;стр72142_Гр3;c22;Стр050_Гр3;;
17;Произведено картофеля, цн;d57;стр72142_Гр4;d22;Стр050_Гр4;;
17;Себестоимость производства, тыс. руб.;f57;стр72142_Гр6;f22;Стр050_Гр6;;
17;Реализовано картофеля;c108;стр73142_Гр3;c56;Стр240_Гр3;;
17;Полная себестоимость;d108;стр73142_Гр4;d56;Стр240_Гр4;;
17;Выручка от реализации;f108;стр73142_Гр6;f56;Стр240_Гр6;;
;;;;;;;
18;Площадь посева подсолнечника;c53;стр72133_Гр3;c20;Стр030_Гр3;;
18;Произведено подсолнечника, цн;d53;стр72133_Гр4;d20;Стр030_Гр4;;
18;Себестоимость производства, тыс. руб.;f53;стр72133_Гр6;f20;Стр030_Гр6;;
18;Реализовано подсолнечника;c104;стр73133_Гр3;c54;Стр220_Гр3;;
18;Полная себестоимость;d104;стр73133_Гр4;d54;Стр220_Гр4;;
18;Выручка от реализации;f104;стр73133_Гр6;f54;Стр220_Гр6;;
18;Площадь посева кукурузы;;;;;;
18;Произведено кукурузы, цн;;;;;;
18;Площадь посева рапса;;;;;;
18;Произведено рапса, цн;;;;;;
18;Себестоимость производства рапса, тыс. руб.;;;;;;
18;Реализовано рапса;;;;;;
18;Полная себестоимость рапса;;;;;;
18;Выручка от реализации рапса;;;;;;
;;;;;;;
;;;;;;;
19;Площадь посева зерна;c45;стр72110_Гр3;c17;Стр010_Гр3;;
19;Произведено зерна, цн;d45;стр72110_Гр4;d17;Стр010_Гр4;;
19;Себестоимость производства, тыс. руб.;f45;стр72110_Гр6;f17;Стр010_Гр6;;
19;Реализовано зерна;c95;стр73110_Гр3;c51;Стр200_Гр3;;
19;Полная себестоимость, тыс. руб.;d95;стр73110_Гр4;d51;Стр200_Гр4;;
19;Выручка от реализации;f95;стр73110_Гр6;f51;Стр200_Гр6;;
;;;;;;;
20;Выручка мяса овец;f122;стр73222_Гр6;с33;Стр121_Гр3;не проверены колонки ;
20;Себестоимость мяса овец;d122;стр73222_Гр4;d33;Стр121_Гр4;на слово шмидке;
20;Выручка шерсти;f127;стр73240_Гр6;f34;Стр122_Гр6;;
20;Себестоимость шерсти;d127;стр73240_Гр4;d34;Стр122_Гр4;;
20;Поголовье овец;c81;стр72239_Гр3;f67;Стр303_Гр6;;
20;Мясо;d81;стр72239_Гр4;d67;Стр303_Гр4;;
20;Поголовье овец;f77;стр72231_Гр6;f71;Стр320_Гр6;;
20;Шерсть;d77;стр72231_Гр4;d71;Стр320_Гр4;;
;;;;;;;
21;Зерновые и зернобобовые   Отчетный год;c95;стр73110_Гр3;c51;Стр200_Гр3;повтор;
21;Подсолнечника  Отчетный год;с104;стр73133_Гр3;c54;Стр220_Гр3;повтор;
21;Кукурузы Отчетный год;с98;стр73112_Гр3;c52;Стр210_Гр3;;
21;Рапс Отчетный год;с103;стр73132_Гр3;c53;Стр211_Гр3;;
21;Овощей открытого грунта Отчетный год;с108;стр73142_Гр3;c56;Стр240_Гр3;;
;;;;;;;
22;Молока Отчетный год;с119;стр73212_Гр3;c70;;;
22;Яйца, (тыс.шт) Отчетный год;с126;стр73230_Гр3;c72;;;
22;Шерсти, тн Отчетный год;с127;стр73240_Гр3;c71;;;
22;Переработка продукции животноводства Молоко;с119;стр73212_Гр3;c70;;повтор;
22;Переработка продукции животноводства КРС;с121;стр73221_Гр3;c79;;повтор;
22;Переработка продукции животноводства Свиньи;с123;стр73223_Гр3;c80;;повтор;
22;Переработка продукции животноводства Овцы;с122;стр73222_Гр3;c81;;;
22;Переработка продукции животноводства Птица;с124;стр73224_Гр3;c82;;повтор;
22;Производство продукции животноводства молоко;d67;стр72211_Гр4;c30;;;
22;Производство продукции животноводства крс;d69;стр72212_Гр4;c29;;;
22;Производство продукции животноводства свиньи;d74;стр72220_Гр4;c31;;;
22;Производство продукции животноводства овцы;d77;стр72231_Гр4;c33;;;
22;Производство продукции животноводства птица;d84;стр72252_Гр4;c37;;;
;;;;;;;
